Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.98 T=1.54012107849121 s"
JSON, 3, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0,
Text, 2, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0,
Dockerfile, 2, 0, 0, 0, 19, 0, 0, 0, 21, 0, 0, 0, 32, 0, 0, 0,
SVG, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0,
Bourne Again Shell, 10, 1, 0, 0, 130, 0, 0, 0, 77, 0, 0, 1, 669, 4, 12, 4,
CSS, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 13, 0, 0, 0,
Bourne Shell, 6, 0, 0, 0, 79, 0, 0, 0, 35, 0, 0, 0, 334, 0, 0, 0,
HTML, 5, 0, 0, 0, 140, 0, 0, 0, 5, 0, 0, 0, 425, 0, 0, 0,
ERB, 2, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 41, 0, 0, 0,
YAML, 20, 5, 0, 0, 79, 0, 0, 0, 96, 0, 0, 0, 853, 3, 17, 0,
Markdown, 42, 12, 29, 0, 2967, 0, 1573, 60, 0, 0, 0, 0, 10070, 139, 6180, 210,
Ruby, 160, 19, 16, 0, 1238, 0, 260, 0, 745, 5, 4, 28, 8366, 103, 1605, 6,
TOML, 12, 4, 0, 0, 27, 0, 0, 1, 31, 2, 0, 1, 154, 4, 1, 3,
Python, 0, 1, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 82, 1, 2, 0,
JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0,
Go, 45, 32, 23, 2, 956, 0, 622, 48, 1086, 5, 262, 45, 9921, 215, 4089, 297,
